Date,Time,Location,Operator,Flight No,Route,AC Type,Registration,CN / LM,Aboard,Fatalities,Ground,Summary,Latitude,Longitude,Country Code
"April 02, 1993",?,"Off Margarita Island, Venezuela",Linea Aeropostal Venezolana,?,Test,McDonnell Douglas DC-9-15,YV-03C,4700/83,11,11,0,Crashed into the sea after departing Caracas on a test flight.,10.9970723,-63.91132959999999,VE
"April 02, 2001",16:30,"Ashbaubenon, Wisconsin",Jet Wings,?,"Green Bay - Ft. Myers, Fl",Cessna 501 Citation I/SP,N405PC,501-0150,1,1,0,"The positioning flight crashed into a building shortly after taking off. The pilot not maintaining aircraft control while maneuvering after takeoff and the pilot's inadequate preflight planning and preparation. Factors relating to the accident were the pilot's diverted attention while maneuvering after takeoff, the pilot's attempted VFR flight into instrument meteorological conditions, the pilot's visual lookout not being possible, the low ceiling, snow, and fog, the airplane's low altitude, and the building.",44.4822137,-88.0701033,US
"April 02, 2012",07:44,"Tyumen, Russia",UTAir,120,Tyurmen - Surgut,ATR 72-201,VP-BYZ,332,43,33,0,"After taking off, the plane lost height during the initial climb and crash landed in a snowy field, 1.5 miles past the end of the runway. The impact split the plane into three pieces.",57.1612975,65.5250172,RU
"April 03, 1933",?,"Hemkenrode, Germany",Deutsche Lufthansa,?,?,Junkers F-13,D-534,?,2,1,0,?,52.2280802,10.706471,DE
"April 03, 1939",?,"Near Marrakech, Morocco",Air France,?,?,Caudron C.635 Simoun,F-AOOT,7372,9,9,0,Crashed into a mountain.,31.6294723,-7.981084500000001,MA
"April 03, 1954",?,"Kabassaak, Turkey",Devlet Hava Yollari,?,Adana - Istanbul,Douglas DC-3,TC-ARK,19509,25,25,0,"Exploded in midair about 25 miles from Adana, 15 minutes after takeoff from Adana.",38.963745,35.243322,TR
"April 03, 1961",23:57,"Llico, Chile",LAN,210,Temuco - Santiago,Douglas DC-3,CC-CLD-P210,9716,24,24,0,The plane crashed into La Gotera Hill while on approach to Santiago. The official cause is unknown.  Icing suspected. All members of the Green Cross Chilean soccer team killed. Wreckage found 54 years after the accident.,-34.7635133,-72.0797766,CL
"April 03, 1967",16:33,"Lexington, Kentucky",Lexington Air Taxi,-,?,Beech C-45H,N3727G,?,9,9,0,"A fire of undetermined origin occurred in the left engine nacelle during climb-out. Engine failure of undetermined origin. Inadequate preflight planning. Improperly loaded aircraft, weight and center of gravity.",38.0405837,-84.5037164,US
"April 03, 1983",?,"Guangzhou, China",Total,?,?,Beech Super King Air 200,F-BVRP,BB-0038,8,8,0,?,23.12911,113.264385,CN
"April 03, 1994",16:36,"Lamoille, Nevada",Air Taxi - El Aero Services Inc.,?,?,Bell 206B3,N27736,2773,5,5,0,"The helicopter crashed shortly after takeoff. The ingestion of foreign material (snow) in the engine, which resulted in a flameout (loss of engine power). Factors related to the accident were: the adverse weather conditions (snow falling & high density altitude), the lack of snow covers to protect the engine intakes while parked and awaiting for the weather conditions to improve, improper planning/decision by the pilot and the company/operator management, inadequate information in the flight manual, and the lack of suitable terrain for an emergency landing.",40.7279868,-115.4784204,US
"April 03, 1996",14:52,"Near Dubrovnik, Croatia",Military - U.S. Air Force,21,Tizla - Dubrovnik,Boeing B-737-T43,73-1149,20696/347,35,35,0,"The aircraft strayed off course and hit St. John Hill at an altitude of 2,200 feet, 16km SE of Dubrovnik while attempting to land in poor weather conditions. U.S. Secretary of Commerce, Ron Brown, 55, killed. Crew error.  Failure of the crew to comply with directives that required a review of all instrument approach procedures, not approved by the Defense Dept. Preflight planning errors, combined with errors made during the flight by the crew. Rumors persist that the accident was a result of sabotage.",42.65066059999999,18.0944238,HR
"April 03, 2008",11:00,"Lawa, Suriname",Blue Wing Airlines,?,Paramaribo - Lawa,Antonov An-28,PZ-TSO,1AJ007-17,19,19,0,While attempting to land the crew aborted the the approach and executed a go-around. Soon after the plane flew into a hillside.,5.8088874,-55.1909445,SR
"April 04, 1933",12:30,"Off Barnegat, New Jersey",Military - U.S. Navy,?,?,Goodyear-Zeppelin U.S.S. Akron (airship),ZRS-4,?,76,73,0,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the Atlantic Ocean. Decision by the commander to fly into a storm despite the presence of lightning.",39.76492229999999,-74.2693297,US
"April 04, 1943",01:40,North Sea,British Overseas Airways,?,"Stockholm, Sweden - RAF Leuchars, Scotland",Lockheed C-56B Lodestar,G-AGEJ,?,7,7,0,"Shot down  by German fighters, 30 miles from Skagen, Denmark",56.511018,3.515625,ERR:15:no country code found
"April 04, 1954",?,"Hanoi, Vietnam",Autrex,?,?,Douglas C-54A,F-BFGQ,10341,4,4,0,The cargo plane crashed into the Red River while on approach.,21.0277644,105.8341598,VN
"April 04, 1955",15:55,"Islip, New York",United Air Lines,?,Training,Douglas DC-6,N37512,43001/32,3,3,0,"Suddenly dove into the ground. Unintentional movement of no.4 throttle into the reverse range just before breaking ground, with the other three engines operating at high power output, which resulted in the aircraft very quickly becoming uncontrollable once airborne.",40.7298207,-73.2103934,US
"April 04, 1963",04:30,"Tatarstan, Russia",Operator,25,Moscow - :	Krasnoyarsk,Ilyushin IL-18,CCCP-75866,183005901,67,67,0,"Crashed in a snow covered field whille en route. The pitch control mechanism of the No. 4 prop failed, creating a severe drag. As the crew was not able to establish under these conditions which one of the right props had caused the problem both were feathered. The airplane entered a high speed descent from which the crew was unable to recover. Control was regained and the crew pulled up when breaking through the low clouds at 150-200 metres but elevators broke off. Control was lost and the airplane crashed.",55.1802364,50.7263945,RU
"April 04, 1970",20:47,"Zaporozhye, Ukraine",Aeroflot,2903,Rostov - Zaporozhye,Ilyushin IL-14P,CCCP-52002,602111,35,7,0,The plane was destroyed when it crashed while on approach. The crew descended prematurely and was not monitored.,47.8388,35.139567,UA
"April 04, 1974",02:35,"Francistown, Botswana",Wenela Air Services,?,Francistown - Malawi,Douglas DC-4,A2-ZER,27242,84,78,0,The aircraft crashed into trees and burst into flames after the engines overheated resulting in loss of power. The plane was carrying gold miners. Fuel contamination. Jet A fuel contaminated the aviation gasoline.,-21.1661005,27.5143603,BW
"April 04, 1975",c 16:30,"Saigon, South Vietnam",Military - U.S. Air Force,?,Tan Son AFB - Clark AFB,Lockheed C-5A Galaxy,68-218,0021,330,155,0,"The aircraft reported it was returning to Tan Son Nhut Airbase 15 minutes after taking off. The aircraft was not able to make the airport and crashed landed into a rice paddy, 1.5 miles from the airport. The flight was evacuating 243 Vietnamese orphans. Pressure failure due to a faulty rear loading ramp caused decompression which led to severed rudder and elevator cables and loss of two hydraulic systems resulting in a loss of pitch control. Worst single non-combat U.S. military aviation disaster.",10.8230989,106.6296638,VN
"April 04, 1977",16:19,"New Hope, Georgia",Southern Airways,242,Huntsville - Atlanta,McDonnell Douglas DC-9-31,N1335U,47393/608,85,62,8,The aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. The plane crash landed on a highway and exploded in flames. Total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. The hail clogged bleeder valves in the engines causing multipe engine surges until the compressors tore apart. Contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.,34.7275,-84.5088899,US
"April 04, 1978",23:20,"Off Galveston, Texas",Air Logistics,?,?,Bell 212,N140AL,?,6,3,0,The helicopter was attempting to land on an oil drilling platform. The co-pilot suffered spatial disorientation and stalled helicopter and crashed.,29.3013479,-94.7976958,US
"April 04, 1984",?,"Florianopolis, Brazil",Líder Táxi Aéreo,?,?,PT-LCN,PT-LCN,24-287,4,4,0,Crashed while landing.,-27.5953778,-48.5480499,BR
"April 04, 1987",14:40,"Medan-Polonia, Indonesia",Garuda Indonesia Airlines,035,Banda Aceh - Medan,McDonnell Douglas DC-9-32,PK-GNQ,47741/836,45,27,0,The aircraft crashed on approach during heavy rain after hitting an antenna. Windshear.,3.5642564,98.6669345,ID
"April 04, 1991",12:10,"Marion, Pennsylvania",Private,?,"Williamsport, PA  - Philadelphia, PA",Piper Aerostar 601 / Bell 412SP,N3645D / N78S,6108448162153/0151,5,5,2,"When the plane's nose gear indicator light did not illuminate a helicopter was dispatched to verify the nose gear was down. While making the inspection, the helicopter's blades accidentally hit the bottom of the plane sending both aircraft into the ground, killing all aboard both aircraft. Pennsylvania Senator H. John Heinz III was killed in the crash along with two children playing outside an elementary school. Two killed aboard the Bell and 3 aboard the Piper. The poor judgment by the captain of the airplane to permit the in-flight inspection after he had determined to the best of his ability that the nose landing gear was fully extended. The poor judgment of the captain of the helicopter to conduct the inspection and the failure of the flight crew of the helicopter to maintain safe separation.",39.8573144,-77.69527029999999,US
"April 04, 1991",13:40,"Lake Thutade, Canada",Central Mountain Air Services,?,Sturdee - Smithers,Douglas C-47B-15-DK,C-FQNF,26643,7,6,0,"The plane crash landed on a frozen lake after the crew flighing VFR, entered a snow storm.",56.8777487,-126.9978028,CA
"April 04, 1992",?,"Near Baikov, Russia",Kamchatavia,?,Petropavlovsk -Baikov,Let 410UVP,CCCP-67130,800326,12,1,0,The cargo plane crashed into high ground 5 km short of the runway in poor weather during a VFR approach.,61.52401,105.318756,RU
"April 04, 1994",14:46,"Amsterdam, Netherlands",KLM Cityhopper,433,Amsterdam - Cardiff,Saab 340B,PH-KSH,195,24,3,0,"Shortly after taking off, the plane experienced engine problems and returned to the airport. While attempting to land the aircraft rolled to the right, pitched up, stalled and crashed. Inadequate use of the flight controls during an asymmetric go-around resulting in loss of control. Contributing factors were insufficient understanding of the flightcrew of the SAAB 340B engine oil system, lack of awareness of the consequences of an aircraft configuration with one engine in flight idle and poor crew resource management.",52.3702157,4.895167900000001,NL
"April 04, 1997",00:16,"Griffin, Georgia",Custom Air Service,?,Griffin - Americus,Aviation Traders ATL-98 Carvair,N83FA,10365,2,2,0,"On a positioning flight, while taking off the plane suffered engine failure, overran the runway and crashed into a vacant building.",33.2467807,-84.2640904,US
"April 04, 2001",?,"Adar Yeil, Sudan",Military - Sudan Air Force,?,Adar Yeil - Khartoum,Antonov AN-24,?,?,30,14,0,"The aircraft crashed on takeoff during a sandstorm, killing Sudan's deputy defense minister and 13 high-ranking military officers.",12.862807,30.217636,SD
"April 04, 2011",13:30,"Kinshasa, Congo",United Nations,834,Kisangani - Kinshasa,Canadair CL-600 CRJ-100ER,4L-GAE,7070,33,32,0,"The plane operated on behalf of the United Nations Organization Stabilization Mission and was leased from Geogian Airways. While attempting to land in rain, thunderstorms and strong winds at Kinshasa, the plane missed the runway and crashed. Twenty eight passengers and crew of 4 were killed. One passenger survived. he inappropriate decision of the crew to continue the approach, in face of extremely inclement weather being displayed on their weather radar. Lack of adequate supervision by the Operator to ensure that its crew complied with established procedures including weather avoidance procedures and stabilized approach criteria.",-4.4419311,15.2662931,CD
"April 04, 2016",1530,"Near Pigeon Forge, Tennessee",Smoky Mountain Helicopters,?,Sightseeing,Bell 206L,N16760,45081,5,5,0,The helicopter crashed in a wooded hillside while on a sightseeing flight..,35.7884241,-83.55433289999999,US
"April 05, 1946",c 11:15,"Rabat, Malta",Military - Royal British Navy,?,?,Vickers Wellington bomber,HE-274,?,4,4,16,"The Wellington was engaged in exercises with a Spitfire fighter. The fighter was using the Wellington as a dummy target and the Wellington was to take evasive action. When the bomber was between 4,000 and 5,000 feet altitude, it turned to port and started diving at 20 degrees. It kept on loosing altitude till it crashed into houses in the center of Rabat. No distress signal was transmitted to either the fighter pilot or ground control.  The probable cause of the accident was leakage of hydraulic fluid which somehow heated and released fumes in the cockpit rendering the crew unconcious.",35.8854994,14.373372,MT
"April 05, 1948",?,"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,?,?,Vickers Viking 1B & Soviet YAK-3 fighter,G-AIVP,229,15,15,0,"The aircraft was circling Gatow in preparation for landing when the DC-3 collided head on with the Russian Air Force Yakovlev 3 fighter, which was performing aerobatics. A total of 14 killed on the Vickers Viking and one on the YAK fighter. The collision was caused by the action of the Yak fighter's pilot, which was in disregard of the accepted rules of flying.",52.52000659999999,13.404954,DE
"April 05, 1950",?,"Hatiara, India",Deccan Airways,?,?,Douglas C-47A,VT-CJD,12826,3,3,0,The cargo plane lost an engine on takeoff and attempted an emergency return but crashed. Overloaded.,22.6034621,88.4476565,IN
"April 05, 1952",08:25,"New York, New York",US Airlines,4-2,"Raliegh, NC - New York, NY",Curtiss C-46F-1-CU,N1911M,22464,2,2,3,Violent engine surges and turbulence during a missed ILS approach caused the crew to loose control of the aircraft and crash at 171st St. and 89th Ave. in Queens. The no.1 engine fuel feed valve diaphragm  failed due to deterioration.,40.7127837,-74.0059413,US
"April 05, 1960",14:39,"Siuna, Nicaragua",Lanica,?,Siuna - Bonanza,Curtiss C-46A-40-CU,AN-AIN,26945,18,2,0,Flew into a hill shortly after taking off. Engine failure due to a  fatigue crack at a valve.,13.7405282,-84.7811621,NI
"April 05, 1966",18:44,"Princeston, West Virginia",Layman Weikle - Taxi,?,?,Cessna 172D,N2486U,?,2,2,0,The aircraft crashed after an uncontrolled descent. Carbon Monoxide poisoning from defective exhaust muffler system.,37.3662293,-81.1025918,US
"April 05, 1976",08:19,"Ketchikan, Alaska",Alaska Airlines,60,Juneau - Ketchikan,Boeing B-727-81,N124AS,18821,50,1,0,The plane overran the runway after landing at excessive speed. The captain's faulty judgement in initiating a go-around after he was committed to a full stop landing following an excessively long and fast touchdown from an unstabilized approach.,55.34222219999999,-131.6461111,US
"April 05, 1978",16:45,"St. Thomas, Virgin Islands",Antilles Air,?,"St. John, VI - St. Croix, VI",Grumman G-21,N877A,?,9,2,0,Made a forced landing in water. Fuel starvation. Inattentiveness to fuel supply. Fuel selector positioned between tanks.,18.335361,-64.95340089999999,VI
"April 05, 1988",?,"Combi, Cyprus",Kuwait Airways,?,Bangkok - Kuwait,Boeing B-747-200,9K-ADA,21541,112,2,0,Hijacking. Two hostages killed on the ground.,35.126413,33.429859,CY
"April 05, 1991",14:51,"Brunswick, Georgia",Atlantic Southeast Airlines,2311,Atlanta - Brunswick,Embraer 120RT- Brasilia,N270AS,120-218,23,23,0,"Just after turning onto final approach, the aircraft suddenly rolled left until the wings were perpendicular to the ground and crashed in a nose down attitude 2 miles short of  the runway. Malfunction of the left engine propeller control unit which allowed the propeller blade angle to go below the flight idle position. Contributing to the accident was the deficient design of the propeller control unit by Hamilton Standard and the approval of the design by the FAA . Texas Senator John Tower, 66, his daughter and astronaut Manley ""Sonny"" Carter were among those killed.",31.1499528,-81.49148939999999,US
"April 05, 1996",14:44,"Near Petropavlovsk, Russia",Krasnoyarskie Avialinii,?,Novosibirsk - Petropavlovsk,Ilyushin IL-76TD,RA-76752,0093498967,20,20,0,"The cargo plane, carrying 57 tones of detergent, crashed into a mountain at an altitude of 2,900 feet. The airplane descended through clouds to an altitude of 900m and flew into the side of a mountain, 300m below the summit.",57.6011371,49.1219371,RU
"April 05, 1996",?,"Off Matsu Island, Taiwan",Formosa Airlines,?,Taipei - Matsu Island,Dornier 228-212,B-12257,8223,17,6,0,After holding for 30 minutes the aircraft undershot the runway during a visual approach and crashed into the sea in heavy fog.,23.69781,120.960515,TW
"April 05, 2000",09:30,"Marianna, Florida",Bankair,?,Opa-Locka - Marianna,Learjet 35A,N86BE,35-194,3,3,0,"While on finals the training flight pitched up, the right wing dropped, and the airplane struck trees, struck wires, caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach, and not obtaining the proper alignment with the runway.",30.7743596,-85.2268735,US
"April 06, 1921",?,"Point Cook, Australia",Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2,2,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",-37.9178086,144.7477259,AU
"April 06, 1935",c 15:20,"Brilon, Germany",KLM Royal Dutch Airlines,?,"Praha, Czechoslovakia - Amsterdam, Netherlands",Fokker F-12,PH-AFL,5242,7,7,0,Crashed after the pilot tried to maintain visual contact with the ground in heavy fog.,51.3982179,8.5749432,DE
"April 06, 1944",15:48,"Near Nome, Alaska",Pan American World Airways,?,Nome - Fairbanks,Pilgrim 100B,NC742N,?,6,6,0,Crashed shortly after takeoff in a snow storm. Failure of the pilot to recognize his proximity to the ground due to heavy snow which entirely covered the terrain.,64.5011111,-165.4063889,US
"April 06, 1951",20:30,"Refugio Pass, near Santa Barbara, California",Southwest Airways,7,Santa Maria - Santa Barbara - Oxnard - Los Angeles,Douglas DC-3,N63439,20229,22,22,0,"The plane crashed into the north slope of Santa Ynez peak, 23 miles northwest of Santa Barbara, in poor weather. Failure of the crew to maintain minimum altitude for the route being flown for reasons unknown.",34.4437094,-119.7247661,US
"April 06, 1958",23:19,"Freeland, Michigan",Capital Airlines,67,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,N7437,135,47,47,0,"The aircraft stalled and crashed into a corn field, 300 feet short of the runway, while making a landing attempt at Tri-City Airport in restricted visibility of rain and snow. The aircraft struck the ground nose first, then flipped over and broke apart.  Icing of the horizontal stabilizer leading to loss of pitch control.",43.5250265,-84.1227598,US
"April 06, 1962",15:00,"Near Villavicencio, Colombia",Military - Colombian Air Force,?,Bogota - Araracuara - Villavicencio,Douglas C-47,FAC-563,?,31,31,0,"Due to winds, the aircraft was 10 degrees off course as it prepared to land at Villavicencio and crashed into a 11,500 ft. mountain.",4.1513822,-73.63769049999999,CO
"April 06, 1972",?,"Near San Fernando, Venezuela",AVENSA,?,?,Curtiss C-46F,YV-C-EVF,22577,2,2,0,The cargo plane crashed.,7.8806888,-67.46953069999999,VE
"April 06, 1981",?,"Laguna Soliz, Bolivia",Urcupina,?,?,Douglas C-47A,CP-1470,19395,7,7,0,The cargo plane flew into the ground while trying to avoid bad weather.,-17.5833333,-62.6,BO
"April 06, 1990",15:03,"Juiz De Fora, Brazil",Air Taxi - Transamerica,?,Rio de Janeiro - Juiz De Flora,Learjet 25C,PT-CMY,25-108,4,2,0,"The jet overan the wet runway fell off a cliff and caught fire. Plane overloaded, pilot did not make the proper calcualtions for landing.",-21.7624237,-43.3433999,BR
"April 06, 1993",01:10,"950 nm S of  Shemya, Alaska",China Eastern Airlines,583,Shanghai - Los Angeles,McDonnell Douglas MD-11,B-2171,48495/461,264,2,0,"The slats were inadvertently deployed while at FL 330. The aircraft progressed through several pitch oscillations and lost 5,000 feet in altitude. Inadequate design of the flap/slat actuation handle that allowed the handle to be easily and inadvertently dislodged from the UP/RET position, thereby causing extension of the leading edge slats during cruise flight.",52.7228375,174.1123656,US
"April 06, 1994",?,"Ambato, Ecuador",TAME,?,Taura - Latacunga,de Havilland Canada DHC-6 Twin Otter 300,FAE450,436,17,17,0,"Struck Mt. Lozan, at 13,400 ft. which was obscured by clouds 47 minutes after taking off.",-1.2543408,-78.62285039999999,EC
"April 06, 1994",?,"Kigali, Rwanda",Rwanda Government,?,"Tanzania - Kigali, Rwanda",Dassault Falcon 50,9XR-NN,006,12,12,0,"Shot down by a missile. President of Burundi, Cyprien Ntaryamira and president of Rwanda, Juvenal Habyarimana were killed.",-1.9705786,30.1044288,RW
